51.4259269,-0.5659912,2020-02-01T21:28:33.169Z
51.4261646,-0.5649402,2020-02-01T21:28:19.786Z
51.4261978,-0.5653295,2020-02-01T21:28:14.322Z
51.4262937,-0.5647512,2020-02-01T21:28:02.103Z
51.4263884,-0.564644,2020-02-01T21:27:53.942Z
51.4263153,-0.5649047,2020-02-01T21:27:50.789Z
51.4264644,-0.5644705,2020-02-01T21:27:40.757Z
51.42641,-0.5647058,2020-02-01T21:27:40.392Z
51.4265188,-0.5645194,2020-02-01T21:27:28.832Z
51.4265794,-0.564402,2020-02-01T21:27:22.774Z
51.4266331,-0.5642038,2020-02-01T21:27:11.051Z
51.4267641,-0.5639662,2020-02-01T21:27:02.022Z
51.4266937,-0.5640251,2020-02-01T21:27:00.163Z
51.4268869,-0.5638239,2020-02-01T21:26:48.521Z
51.42720413,-0.56351018,2020-02-01T21:26:40.588Z
51.426985,-0.5637932,2020-02-01T21:26:35.976Z
51.4270979,-0.5637467,2020-02-01T21:26:25.533Z
51.4272023,-0.5635102,2020-02-01T21:26:14.014Z
51.4272381,-0.5636905,2020-02-01T21:26:11.789Z
51.4273041,-0.5635599,2020-02-01T21:26:02.139Z
51.4273741,-0.5634226,2020-02-01T21:25:51.648Z
51.4273769,-0.5634865,2020-02-01T21:25:37.377Z
51.4274566,-0.5631729,2020-02-01T21:25:32.768Z
51.4274953,-0.5629884,2020-02-01T21:25:23.420Z
51.4275141,-0.5628311,2020-02-01T21:25:09.591Z
51.4272133,-0.56327,2020-02-01T21:25:04.685Z
51.4275359,-0.5627408,2020-02-01T21:24:58.453Z
51.4272472,-0.5632559,2020-02-01T21:24:57.331Z
51.4274979,-0.5626661,2020-02-01T21:24:48.788Z
51.4272531,-0.5627013,2020-02-01T21:24:36.804Z
51.4271588,-0.5628267,2020-02-01T21:24:27.229Z
51.4271258,-0.5630134,2020-02-01T21:24:25.319Z
51.4270992,-0.5626852,2020-02-01T21:23:52.244Z
51.4271489,-0.5626474,2020-02-01T21:23:48.588Z
51.42707,-0.5622797,2020-02-01T21:23:27.016Z
51.426379,-0.5618388,2020-02-01T21:22:56.868Z
51.4266542,-0.5618271,2020-02-01T21:22:49.191Z
51.4264781,-0.5618101,2020-02-01T21:22:31.486Z
51.4263382,-0.5618365,2020-02-01T21:22:20.323Z
51.4263624,-0.5617763,2020-02-01T21:22:16.816Z
51.4262694,-0.5616926,2020-02-01T21:22:05.092Z
51.4261407,-0.5620276,2020-02-01T21:21:58.222Z
51.4261282,-0.561912,2020-02-01T21:21:52.668Z
51.4261158,-0.5623091,2020-02-01T21:21:28.781Z
51.426079,-0.5621555,2020-02-01T21:21:31.992Z
51.4260596,-0.5622884,2020-02-01T21:21:12.724Z
51.426124,-0.5629247,2020-02-01T21:21:05.726Z
51.4261111,-0.5625175,2020-02-01T21:20:57.907Z
51.4261178,-0.5629701,2020-02-01T21:20:35.562Z
51.4262715,-0.563688,2020-02-01T21:20:20.499Z
51.4261372,-0.5632049,2020-02-01T21:20:05.216Z
51.4263209,-0.5639157,2020-02-01T21:19:42.894Z
51.4262311,-0.5638546,2020-02-01T21:19:29.796Z
51.4264377,-0.5642972,2020-02-01T21:19:08.655Z
51.426455,-0.5643758,2020-02-01T21:19:09.086Z
51.4265164,-0.5644124,2020-02-01T21:18:56.074Z
51.4263425,-0.5647796,2020-02-01T21:18:45.682Z
51.4264589,-0.5646673,2020-02-01T21:18:39.846Z
51.4262361,-0.5648622,2020-02-01T21:18:17.952Z
51.42589188,-0.565975904,2020-02-01T21:18:08.769Z
51.4259758,-0.566031873,2020-02-01T21:17:52.199Z
51.42589188,-0.565975904,2020-02-01T21:17:49.185Z
51.42589188,-0.565975904,2020-02-01T21:17:34.477Z
51.4259758,-0.566031873,2020-02-01T21:17:33.261Z
51.4259758,-0.566031873,2020-02-01T21:17:19.176Z
51.42589188,-0.565975904,2020-02-01T21:14:33.407Z
51.42589188,-0.565975904,2020-02-01T21:12:03.650Z
51.4259758,-0.566031873,2020-02-01T21:11:11.502Z
